id;cnpj;name;address;address_city;phone;website;email;login_email;login_access_code;login_cpf;login_password;login_token;fee;iss;swing_trade;day_trade
979;33.824.012/0001-90;ADVALOR DTVM LTDA;R DO CARMO, 17 - 3 ANDAR;RIO DE JANEIRO - RJ, 20011-020;(55 21) 2221-7273;;;true;false;false;true;false;10.0;5.0;true;true
39;74.014.747/0001-35;AGORA CTVM S/A;PR DE BOTAFOGO, 300 - SALA 601 E 301 (PARTE);RIO DE JANEIRO - RJ, 22250-040;4004 8282;www.agorainvest.com.br;assessoria@agorainvest.com.br;true;false;false;true;false;10.0;5.0;true;true
3701;13.293.225/0001-25;ÓRAMA DTVM S.A.;PR BOTAFOGO, 228 - SALAS 1801, 1901;RIO DE JANEIRO - RJ, 22250-906;;www.orama.com.br;;true;false;false;true;false;10.0;5.0;true;true
3;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S/A;AV AFRANIO DE MELO FRANCO, 290 - SALA 708;RIO DE JANEIRO - RJ, 22430-060;(55 21) 3265-3700;www.xpi.com.br;atendimento@xpi.com.br;true;false;false;true;false;10.0;5.0;true;true
21;03.384.738/0001-98;VOTORANTIM ASSET MANAG. DTVM;AV DAS NACOES UNIDAS, 14171 - 11° ANDAR;SAO PAULO - SP, 04794-000;(55 11) 5171-5422;www.votorantimdtvm.com.br;"cor-risco@votorantimcorretora.com.br;gcti-despesas@bancovotorantim.com.br";true;false;false;true;false;10.0;5.0;true;true
29;28.156.214/0001-70;UNILETRA CCTVM S.A.;AV NOSSA SENHORA DA PENHA, 2035 - TERREO E 3º ANDAR;VITORIA - ES, 29056-075;55 27 4009-0456;www.uniletra.com.br;agentes@uniletra.com.br;true;false;false;true;false;10.0;5.0;true;true
37;33.968.066/0001-29;UM INVESTIMENTOS S.A. CTVM;PC 15 DE NOVEMBRO, 20 - 12° ANDAR;RIO DE JANEIRO - RJ, 20010-010;(21) 2323-2424;www.uminvestimentos.com.br;comercial@eum.com.br;true;false;false;true;false;10.0;5.0;true;true
8;02.819.125/0001-73;UBS BRASIL CCTVM S/A;AV. FARIA LIMA, 4.44 - 7° ANDAR PARTE;SAO PAULO - SP, 04538-132;(55 11) 4504-7290;http://www.ubs.com/br/pt.html;atendimento.cctvm@ubs.com;true;false;false;true;false;10.0;5.0;true;true
127;61.747.085/0001-60;TULLETT PREBON;R AMAURI, 255 - 8° ANDAR;SAO PAULO - SP, 01448-000;(55 11) 2111-4800;www.convencao.com.br;convencao@convencao.com.br  ;true;false;false;true;false;10.0;5.0;true;true
4090;29.162.769/0001-98;TORO CTVM LTDA.;AV GETULIO VARGAS, 671 - 12, 13, 14, 15 E 16 ANDARES;BELO HORIZONTE - MG, 30112-021;;www.toroinvestimentos.com.br;contato@toroinvestimentos.com.br;true;false;false;true;false;10.0;5.0;true;true
