id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
1;3M;7;MMMC34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Financeiro / Holdings Diversificadas / Holdings Diversificadas;www.3m.com
2;ABBOTT;13;ABTT34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos;www.abbott.com
3;ABBVIE;13;ABBV34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Consumo não Cíclico / Saúde / Medicamentos e Outros Produtos;http://www.abbvie.com
4;ABC BRASIL;4;ABCB4;BR;28.195.667/0001-06;O Banco Tem Por Objeto A Prática de Operações Ativas. Passivas E Acessórias Inerentes às Respectivas Carteiras Autorizadas Pelo Banco Central Do Brasil.;Financeiro / Intermediários Financeiros / Bancos;www.abcbrasil.com.br
5;ACCENTURE;17;ACNB34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Tecnologia da Informação / Programas e Serviços / Programas e Serviços;www.accenture.com
6;ACO ALTONA;7;EALT3;BR;82.643.537/0001-34;Fundição de Ferro E Aço;Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais;www.altona.com.br
7;ACO ALTONA;7;EALT4;BR;82.643.537/0001-34;Fundição de Ferro E Aço;Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais;www.altona.com.br
8;ACTIVISION;3;ATVI34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
9;ADOBE INC;9;ADBE34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
10;ADVANCED-DH;1;ADHM3;BR;10.345.009/0001-98;Prestação de Serv. de Medicina Preventiva. Comércio. Distribuição. Importação E Exportação de Kits de Teste Laboratorial. Intermediação de Neg.. Licenciamento de Marcas E Franquias. Etc.;Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos;www.advanced-dh.com
11;AES SUL;3;Nenhum ativo na B3;BR;02.016.440/0001-62;Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.aessul.com.br
12;AES TIETE E;3;TIET11;BR;04.128.563/0001-10;Geração E Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ri.aestiete.com.br
13;AES TIETE E;3;TIET3;BR;04.128.563/0001-10;Geração E Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ri.aestiete.com.br
14;AES TIETE E;3;TIET4;BR;04.128.563/0001-10;Geração E Comercialização de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ri.aestiete.com.br
15;AFLUENTE T;3;AFLT3;BR;10.338.320/0001-00;Transmissão de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;http://www.afluentet.com.br/
16;AGPART;4;CANT3B;BR;04.031.960/0001-70;Grupo 1 - Dados Da Empresa - 06 - Características Da Empresa gestão de Participações Societárias (holding);Financeiro / Holdings Diversificadas / Holdings Diversificadas;www.agsa.com.br
17;AGPART;4;CANT4B;BR;04.031.960/0001-70;Grupo 1 - Dados Da Empresa - 06 - Características Da Empresa gestão de Participações Societárias (holding);Financeiro / Holdings Diversificadas / Holdings Diversificadas;www.agsa.com.br
18;AIG GROUP;4;AIGB34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Financeiro / Previdência e Seguros / Seguradoras;www.aig.com
19;ALEF S/A;5;ALEF3B;BR;02.217.319/0001-07;Holding - Participação em Outras Sociedades;Outros / Outros / Outros;http://www.alefnet.com.br/home/index.aspx
20;ALFA CONSORC;4;BRGE11;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
21;ALFA CONSORC;4;BRGE12;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
22;ALFA CONSORC;4;BRGE3;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
23;ALFA CONSORC;4;BRGE5;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
24;ALFA CONSORC;4;BRGE6;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
25;ALFA CONSORC;4;BRGE7;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
26;ALFA CONSORC;4;BRGE8;BR;17.193.806/0001-46;A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie. b) atuar Como Representante. Administradora Ou Procurad;Financeiro / Previdência e Seguros / Seguradoras;www.alfanet.com.br
27;ALFA FINANC;4;CRIV3;BR;17.167.412/0001-13;A Sociedade Tem Por Objeto A Prática de Todas As Operações de Crédito. Financiamento E Investimentos Permitidas Pelas Leis E Regulamentos Aplicáveis à Espécie.;Financeiro / Intermediários Financeiros / Soc. Crédito e Financiamento;www.alfanet.com.br
28;ALFA FINANC;4;CRIV4;BR;17.167.412/0001-13;A Sociedade Tem Por Objeto A Prática de Todas As Operações de Crédito. Financiamento E Investimentos Permitidas Pelas Leis E Regulamentos Aplicáveis à Espécie.;Financeiro / Intermediários Financeiros / Soc. Crédito e Financiamento;www.alfanet.com.br
29;ALFA HOLDING;4;RPAD3;BR;17.167.396/0001-69;Emp. Adm. Part. - Intermediação Financeira;Financeiro / Intermediários Financeiros / Bancos;www.alfanet.com.br
30;ALFA HOLDING;4;RPAD5;BR;17.167.396/0001-69;Emp. Adm. Part. - Intermediação Financeira;Financeiro / Intermediários Financeiros / Bancos;www.alfanet.com.br
31;ALFA HOLDING;4;RPAD6;BR;17.167.396/0001-69;Emp. Adm. Part. - Intermediação Financeira;Financeiro / Intermediários Financeiros / Bancos;www.alfanet.com.br
32;ALFA INVEST;4;BRIV3;BR;60.770.336/0001-65;Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.;Financeiro / Intermediários Financeiros / Bancos;www.alfanet.com.br
33;ALFA INVEST;4;BRIV4;BR;60.770.336/0001-65;Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.;Financeiro / Intermediários Financeiros / Bancos;www.alfanet.com.br
34;ALGAR TELEC;18;Nenhum ativo na B3;BR;71.208.516/0001-74;Serviços de Telecomunicações em Geral;Telecomunicações / Telecomunicações / Telecomunicações;http://www.algartelecom.com.br
35;ALIANSCE;6;ALSC3;BR;06.082.980/0001-03;Não Informado;Financeiro / Exploração de Imóveis / Exploração de Imóveis;www.aliansce.com.br
36;ALIPERTI;15;APTI3;BR;61.156.931/0001-78;Fabricação de Peças E Acessórios Para O Sistema de Direção E Suspensão de Veículos Automotores;Consumo não Cíclico / Agropecuária / Agricultura;www.aliperti.com.br
37;ALIPERTI;15;APTI4;BR;61.156.931/0001-78;Fabricação de Peças E Acessórios Para O Sistema de Direção E Suspensão de Veículos Automotores;Consumo não Cíclico / Agropecuária / Agricultura;www.aliperti.com.br
38;ALL NORTE;19;FRRN3B;BR;24.962.466/0001-36;(i) Construção E Exploração de Sistemas de Transporte Ferroviário de Carga. Rodovias E Hidrovias. (ii) Prestação de Serviços de Transporte de Carga em Ferrovias. Rodovias E Hidrovias. Etc.;Bens Industriais / Transporte / Transporte Ferroviário;ri.rumolog.com
39;ALL NORTE;19;FRRN5B;BR;24.962.466/0001-36;(i) Construção E Exploração de Sistemas de Transporte Ferroviário de Carga. Rodovias E Hidrovias. (ii) Prestação de Serviços de Transporte de Carga em Ferrovias. Rodovias E Hidrovias. Etc.;Bens Industriais / Transporte / Transporte Ferroviário;ri.rumolog.com
40;ALL NORTE;19;FRRN6B;BR;24.962.466/0001-36;(i) Construção E Exploração de Sistemas de Transporte Ferroviário de Carga. Rodovias E Hidrovias. (ii) Prestação de Serviços de Transporte de Carga em Ferrovias. Rodovias E Hidrovias. Etc.;Bens Industriais / Transporte / Transporte Ferroviário;ri.rumolog.com
